UC,Distance_to_River_km
Sabaiwala,23.07
Samandoana,4.67
Sanjar,76.69
Sanjar,82.79
Satiana,6.6
Seetpur,4.96
Shadi Khan Munda,38.14
Shah Jamal,29.08
Shah Jamal,25.26
Shah Jeewana,6.25
Shah Pur,129.27
Shah Sadiq Nahang,14.9
Shahbaz Pur,17.87
Sharif Chhajrah,31.0
Sharifabad,8.96
Shehar Sultan City,8.76
Sheikh Chhuhar,13.99
Sheikh Umar,56.76
Sinawan,40.76
Sultan Pakhera,21.22
Sultan Pur,17.15
Sultanpur,7.05
Syed Imam Shah,123.45
Syed Imam Shah,67.01
Talairi,4.04
Thatha Qureshi,2.65
Thatta Gurmani,48.41
Uchgal Imam,24.47
Umarpur Janubi,4.77
Usman Koria,23.52
Utra Sandaila,28.92
Unknown_12,27.82
Unknown_14,119.38
Unknown_15,71.37
Unknown_16,41.97
Unknown_17,81.01
Unknown_18,48.9
Unknown_19,48.85
Unknown_20,88.04
Unknown_21,25.04
Unknown_22,160.66
Unknown_23,18.23
Unknown_24,157.75
Unknown_25,25.94
Unknown_26,25.4
Unknown_27,27.16
Unknown_28,24.18
Unknown_29,26.33
Unknown_3,33.63
Unknown_30,181.28
Unknown_31,31.3
Unknown_32,33.7
Unknown_34,25.73
Unknown_35,10.23
Unknown_36,10.95
Unknown_37,10.13
Unknown_38,26.78
Unknown_39,27.53
Unknown_40,11.45
Unknown_41,7.17
Unknown_42,46.54
Unknown_43,46.35
Unknown_44,178.79
Unknown_45,29.93
Unknown_46,30.84
Unknown_48,148.77
Unknown_49,32.86
Unknown_50,32.27
Unknown_52,154.29
Unknown_53,33.16
Unknown_55,157.6
Unknown_56,29.83
Unknown_57,142.78
Unknown_58,34.52
Unknown_59,147.56
Unknown_60,48.09
Unknown_61,47.26
Unknown_62,41.12
Wahi Hussain,44.46
Wahi Hussain,54.74
Wains,16.76
Wan Patafi,24.85
Wandar,17.1
Wasu Aastana,10.0
Yakey Wali,15.26
Ahmedpur East,33.77
Ali Kharak,26.37
Bahawalpur Khalwan,15.13
Bakhtiari,0.05
Bin Wala,6.86
Binwala,0.38
Chanab Rasoolpur,1.55
Chani Goth,15.53
Dhoor Kor,6.34
Dhoor Kot,5.77
Hatheji,28.18
Janu Wala,32.97
Khair Pur Dhaha,14.02
Khuda Bux Mehar,26.11
Khuram Pur,16.33
Kot Khalifa,6.71
Kotla Musa Khan,18.19
Kulab,22.88
Mahand,9.86
Mandhal,32.65
Mehrabwala,37.58
Mubarakpur,32.6
Mud Peer Wah,33.92
Nunari,15.64
Rajarhoo,12.05
Sukhail,31.86
Tibbi Izzat,33.43
Uch Bukhari,3.25
Uch Gilani,11.04
